claim_id;activity_instance;activity;Inicio;Fin;resource;result;type;value;agent;.order
1;10000;Accident;01-01-2008;01-01-2008;Client x;NA;NA;NA;NA;4907
1;10001;File Claim;09-01-2008;09-01-2008;Client x;NA;Car;600;Agent A;4908
1;10002;Check Contract;12-01-2008;13-01-2008;Assistant 1;OK;NA;NA;NA;4909
1;10003;Franchise?;13-01-2008;13-01-2008;Assistant 1;By client;NA;NA;NA;4910
1;10004;Covered?;15-01-2008;15-01-2008;Assistant 1;OK;NA;NA;NA;4911
1;10005;Acceptance Decision;20-01-2008;20-01-2008;Manager 2;NA;NA;NA;NA;4912
1;10006;Start Investigation;01-02-2008;01-02-2008;Assistant 1;NA;NA;NA;NA;4913
1;10007;Appoint Lawyer;10-02-2008;10-02-2008;Manager 2;NA;NA;NA;NA;4914
1;10008;Appoint Expert;10-02-2008;10-02-2008;Manager 2;NA;NA;NA;NA;4915
1;10009;Receive Conclusion Expert;02-03-2008;02-03-2008;Assistant 1;NA;NA;NA;NA;4916
1;10010;Receive Conclusion Lawyer;12-03-2008;12-03-2008;Assistant 1;NA;NA;NA;NA;4917
1;10011;Pay Back Decision;22-03-2008;23-03-2008;Manager 2;NA;NA;NA;NA;4918
1;10012;Pay Claim;07-05-2008;07-05-2008;Assistant 1;NA;NA;NA;NA;4919
2;10013;Accident;02-01-2008;02-01-2008;Client x;NA;NA;NA;NA;4920
2;10014;File Claim;10-01-2008;10-01-2008;Client x;NA;House;500;Agent D;4921
2;10015;Check Contract;13-01-2008;14-01-2008;Assistant 6;OK;NA;NA;NA;4922
2;10016;Franchise?;14-01-2008;14-01-2008;Assistant 6;By client;NA;NA;NA;4923
2;10017;Covered?;16-01-2008;16-01-2008;Assistant 6;OK;NA;NA;NA;4924
2;10018;Acceptance Decision;21-01-2008;21-01-2008;Manager 2;NA;NA;NA;NA;4925
2;10019;Start Investigation;02-02-2008;02-02-2008;Assistant 6;NA;NA;NA;NA;4926
2;10020;Appoint Lawyer;11-02-2008;11-02-2008;Manager 2;NA;NA;NA;NA;4927
2;10021;Appoint Expert;11-02-2008;11-02-2008;Manager 2;NA;NA;NA;NA;4928
2;10022;Receive Conclusion Expert;03-03-2008;03-03-2008;Assistant 6;NA;NA;NA;NA;4929
2;10023;Receive Conclusion Lawyer;13-03-2008;13-03-2008;Assistant 6;NA;NA;NA;NA;4930
2;10024;Pay Back Decision;23-03-2008;24-03-2008;Manager 2;NA;NA;NA;NA;4931
2;10025;Pay Claim;08-05-2008;08-05-2008;Assistant 6;NA;NA;NA;NA;4932
3;10026;Accident;03-01-2008;03-01-2008;Client x;NA;NA;NA;NA;4933
3;10027;File Claim;11-01-2008;11-01-2008;Client x;NA;Health;500;Agent A;4934
3;10028;Check Contract;14-01-2008;15-01-2008;Assistant 7;OK;NA;NA;NA;4935
3;10029;Franchise?;15-01-2008;15-01-2008;Assistant 7;By client;NA;NA;NA;4936
3;10030;Covered?;17-01-2008;17-01-2008;Assistant 7;NOK;NA;NA;NA;4937
3;10031;Acceptance Decision;22-01-2008;22-01-2008;Manager 2;NA;NA;NA;NA;4938
3;10032;Reject Claim;25-01-2008;25-01-2008;Manager 2;NA;NA;NA;NA;4939
4;10033;Accident;04-01-2008;04-01-2008;Client x;NA;NA;NA;NA;4940
4;10034;File Claim;12-01-2008;12-01-2008;Client x;NA;Health;550;Agent B;4941
4;10035;Check Contract;15-01-2008;16-01-2008;Assistant 7;OK;NA;NA;NA;4942
4;10036;Franchise?;16-01-2008;16-01-2008;Assistant 7;By client;NA;NA;NA;4943
4;10037;Covered?;18-01-2008;18-01-2008;Assistant 7;OK;NA;NA;NA;4944
4;10038;Acceptance Decision;23-01-2008;23-01-2008;Manager 2;NA;NA;NA;NA;4945
4;10039;Start Investigation;04-02-2008;04-02-2008;Assistant 7;NA;NA;NA;NA;4946
4;10040;Appoint Lawyer;13-02-2008;13-02-2008;Manager 2;NA;NA;NA;NA;4947
4;10041;Appoint Expert;13-02-2008;13-02-2008;Manager 2;NA;NA;NA;NA;4948
4;10042;Receive Conclusion Expert;05-03-2008;05-03-2008;Assistant 7;NA;NA;NA;NA;4949
4;10043;Receive Conclusion Lawyer;15-03-2008;15-03-2008;Assistant 7;NA;NA;NA;NA;4950
4;10044;Pay Back Decision;25-03-2008;26-03-2008;Manager 2;NA;NA;NA;NA;4951
4;10045;Pay Claim;10-05-2008;10-05-2008;Assistant 7;NA;NA;NA;NA;4952
5;10046;Accident;05-01-2008;05-01-2008;Client x;NA;NA;NA;NA;4953
